,Id,Gender,Age,Topic,Sentence
2711,88,M,40-49,SMOKE,Tutti in humidor autocostruito 55 max 60% ur: 4 originale 2 antica riserva 5 extravecchio 10 speciale 3 modigliani 4 soldati 5 antico Più 3 AI superiore 3 AI classico 3 mastro tornabuoni scorciato 2 mastro tornabuoni long 2 stortignaccolo tornabuoni. Prossimamente prenderò se sono ancora disponibili sfusi un paio di millennium e presidente che non li ho mai sentiti.
2712,327,M,30-39,SMOKE,"Io proverei a riempire il fornello di sale, in modo che assorba l'umidità."
2713,912,M,30-39,SPORTS,"Sandro Pochesci, nuovo allenatore della Casertana, commette una clamorosa gaffe in conferenza stampa, dopo un lungo discorso al minuto 57:30, afferma:  .......    Di seguito il link al video, pubblicato integralmente da SalernitanaNews Non è possibile pubblicarlo sul forum perchè è troppo pesante"
2714,966,M,20-29,CELEBRITIES,"Il mio voto è andato a Mia per questa settimana. Semplicemente rozza, cafona e ha un modo di approcciarsi agli altri che non mi piace per niente. Avrei votato volentieri anche Michele e Francesca."
2715,67,M,40-49,METAL-DETECTING,Io ne ho trovato uno smaltato con raffigurato un muso di segugio. Dopo un pò uno intero cone edera in rilievo. si...è un gemello.
2716,335,F,20-29,NATURE,Infatti l'aceto serve per acidificare.va bene anche limone o estratto di semi di pompelmo ma in genere l'aceto ce l'anno tutti a casa.
2717,520,M,20-29,SPORTS,"Non si possono giocare due finali in tre giorni ad Agosto.Ok che sono il Barcellona,ma hanno esagerato."
2718,597,M,50-100,SPORTS,"Mi sento preso tra due fuochi....cazz, lo sai che è una vita che aspetto questo evento? Se tutte e due le squadre si presentano con le palle quadrate, non so chi la potrà spuntare - passaggio ai quarti alla portata di entrambe. Ma il mio dilemma è: quale cazzo di maglia devo indossare? Ammesso che io riesca a mettere le mani su un paio di tickets...."
2719,1053,M,0-19,ANIME,"allora io ho installato il filtro ho fatto: (:C) Programmi, Adobe, Adobe photoshop Cs5, plug-ins, filters ed ho incollato la cartella dei filtri penta ovviamente il tutto a photoshop chiuso, poi vado ad aprire e..."
2720,620,M,30-39,SPORTS,Complimenti...introspettiva e piena di effetti...come un pezzone dei kiss
2721,302,F,0-19,ANIME,"Tramquilla xD Mi piacerebbe molto vedere Anonymous Noise (o Fukumenkei Noise che dir si voglia). Se riuscite bene, altrimenti niente, tanto quì ne posso vedere molti altri su questo sito xD"
2722,900,M,20-29,AUTO-MOTO,Penso a dei bei cerchi da 18 e poi sei apposto😍
2723,1033,M,30-39,MEDICINE-AESTHETICS,"Grazie per la risposta peter. Si è questa, bella fregatura. Come faccio inoltre ad accorgermi se è un viagra tarocco? Avrei paura ad assumerlo anche o esagero?"
2724,1033,M,30-39,MEDICINE-AESTHETICS,"Il pacco ordinato alla meds pharmacy è appena arrivato. Si trattava del Viagra originale Pfizer, è arrivato solo la pellicola con le pillole ma senza scatola. E' normale? Poi in un paio di mail che ci siamo scambiati mi han detto che tutti i prodotti farmaceutici venduti in Europa sono fatti in India e quindi sono originalissimi... è vero? quindi la pfizer produce in India? Bah ci credo poco.. Cmq vi farò sapere se funziona. La prossima volta (se) acquisterò lo farò da un venditore diretto"
2725,411,M,50-100,AUTO-MOTO,"Un ladro attende il passaggio di una donna , la ferma e le dice '' Se non vuole morire mi dia tutti i soldi che ha '' la malcapitata lo guarda e gli risponde '' Guardi che non ho soldi contanti con me '' . Il ladro allora la guarda e le dice '' lo so io dove li tenete i soldi ; nel reggiseno e inizia e ravanare dentro '' La signora dopo un po' di perquisizione nel seno inizia e mugugnare '' ahh , ahh , ahhhhhh '' il ladro spazientito guarda la signora dicendole arrabbiato '' ma porca miseria non c'e' denaro qui dentro '' e la signora risponde gentilmente '' lei continui cosi che poi le faccio un assegno  Un ragazzo esce con la sua ragazza e decidono di passare la notte a casa di lui. Arrivati all'appartamento, prima che lui apra la porta lei gli fa: ""Aspetta, io riesco a capire come un uomo fa l'amore da come apre la porta."" ""Fammi un esempio"" fa lui. ""Per esempio, se uno infila con violenza la chiave e apre la porta con forza, significa che sara' un amante rude e che non fa per me, oppure se non riesce a trovare il buco della serratura significa che e' un amante inesperto e che non fa per me... E tu, come apri la porta?"""
2726,577,M,30-39,SPORTS,"Giusto. Fieri di essere i primi degli ultimi e di esserlo ancora per molto tempo, a quanto pare. ""E adesso ringraziate"" (cit.)"
2727,107,M,0-19,SPORTS,"aspettare giugno prima di fare sto casino era troppo difficile? ora li voglio vedere sti fenomeni come ci arrivano al quarto posto con ranocchia unica alternativa a lautaro  per il momento han salutato il terzo posto e la coppa italia, attendiamo nuovi sviluppi"
2728,237,F,30-39,ANIME,"ehhh quanto ti capisco, lo vorrei ake io ^^"
2729,1090,M,40-49,AUTO-MOTO,Guarda. Ti stimo molto per quello che hai scritto.. tutto qui.
2730,117,M,20-29,SMOKE,Anche le mie ryo durante questi mesi sono diventate belle colorate e profumatissime  belle mielose come odore
2731,291,F,50-100,AUTO-MOTO,Ciao Sindaco di noi tutti: anche tu qui? Bentrovato!!
2732,740,M,0-19,SPORTS,"Forza ragazzi, è il momento di cacciare le palle, basta piangere lacrime di coccodrillo a fine partita, vogliamo 11 gladiatori.."
2733,176,M,50-100,SPORTS,"Mal di Serchio. .........altamente contagioso, basta una volta ( la prima. ..) e qualche pesce. ....e sei fatto! Grazie Pier. .e soprattutto Bravo Pier.."
2734,761,M,50-100,AUTO-MOTO,"Ciao, volevo sapere se c'e' invece modo di far partire in automatico l'applicazione quando si entra in macchina (su Iphone). Grazie"
2735,758,M,30-39,AUTO-MOTO,"CERRRRRRRTO Marchitiè ahahah col cavolo che rinuncio, mi diverto così  deve intervenire il Presidente d'autorità senno col cavolo."
